"type";"name";"time_units";"begin_time";"frequency";"count";"units"
"signal";"Kraft";"%";0,00;2,4;360;"N"

"time";"value"
0,00;8,84347357
0,42;14,61887038
0,83;21,45554591
1,25;29,30339659
1,67;36,98186598
2,08;43,86900649
2,50;50,45032925
2,92;57,42468765
3,33;64,79791334
3,75;72,49173047
4,17;80,72343378
4,58;89,37813039
5,00;98,14178043
5,42;106,899311
5,83;115,6786381
6,25;124,0722603
6,67;131,7463539
7,08;138,7435385
7,50;145,1585077
7,92;151,1874526
8,33;156,8920623
8,75;162,3694981
9,17;167,6960024
9,58;172,6947564
10,00;177,2261745
10,42;181,5567712
10,83;185,918875
11,25;190,1692789
11,67;194,2188901
12,08;197,9980552
12,50;201,4642243
12,92;204,8423698
13,33;208,3000228
13,75;211,6878505
14,17;214,8359765
14,58;217,7880304
15,00;220,6410968
15,42;223,4443728
15,83;226,0472345
16,25;228,3718808
16,67;230,4764173
17,08;232,3986859
17,50;234,1707611
17,92;235,7818005
18,33;237,240363
18,75;238,552641
19,17;239,7365398
19,58;240,8079561
20,00;241,7909846
20,42;242,6819789
20,83;243,4329695
21,25;243,9493836
21,67;244,2032342
22,08;244,2656283
22,50;244,174933
22,92;243,9884627
23,33;243,7904631
23,75;243,5282133
24,17;243,1077012
24,58;242,5626621
25,00;241,848334
25,42;240,9280175
25,83;239,8140287
26,25;238,4848556
26,67;237,036329
27,08;235,5218092
27,50;233,8293938
27,92;231,8692452
28,33;229,7655367
28,75;227,6543552
29,17;225,4591995
29,58;223,0065098
30,00;220,1969717
30,42;217,1364977
30,83;213,9535567
31,25;210,6042785
31,67;207,0552999
32,08;203,3574881
32,50;199,4730333
32,92;195,3425194
33,33;191,0613791
33,75;186,7841111
34,17;182,5110449
34,58;178,1316392
35,00;173,4950872
35,42;168,5412647
35,83;163,4565488
36,25;158,4687852
36,67;153,5221682
37,08;148,4343364
37,50;143,2729928
37,92;138,0617716
38,33;132,6719488
38,75;127,2154414
39,17;121,8292243
39,58;116,3902627
40,00;110,8924601
40,42;105,5752088
40,83;100,4611127
41,25;95,40882389
41,67;90,34765523
42,08;85,23242873
42,50;80,14875173
42,92;75,12766894
43,33;70,2601699
43,75;65,79617046
44,17;61,66115525
44,58;57,55868604
45,00;53,44071794
45,42;49,44709194
45,83;45,57484541
46,25;41,66987874
46,67;37,68540387
47,08;33,70410898
47,50;29,78474699
47,92;25,98169737
48,33;22,31933098
48,75;18,78354772
49,17;15,45184594
49,58;12,3071865
50,00;9,319148261
50,42;6,463406252
50,83;3,859067109
51,25;1,335231922
51,67;0
52,08;0
52,50;0
52,92;0
53,33;0
53,75;0
54,17;0
54,58;0
55,00;0
55,42;0
55,83;0
56,25;0
56,67;0
57,08;0
57,50;0
57,92;0
58,33;0
58,75;0
59,17;0
59,58;0
60,00;0
60,42;0
60,83;0
61,25;0
61,67;0
62,08;0
62,50;0
62,92;0
63,33;0
63,75;0
64,17;0
64,58;0
65,00;0
65,42;0
65,83;0
66,25;0
66,67;0
67,08;0
67,50;0
67,92;0
68,33;0
68,75;0
69,17;0
69,58;0
70,00;0
70,42;0
70,83;0
71,25;0
71,67;0
72,08;0
72,50;0
72,92;0
73,33;0
73,75;0
74,17;0
74,58;0
75,00;0
75,42;0
75,83;0
76,25;0
76,67;0
77,08;0
77,50;0
77,92;0
78,33;0
78,75;0
79,17;0
79,58;0
80,00;0
80,42;0
80,83;0
81,25;0
81,67;0
82,08;0
82,50;0
82,92;0
83,33;0
83,75;0
84,17;0
84,58;0
85,00;0
85,42;0
85,83;0
86,25;0
86,67;0
87,08;0
87,50;0
87,92;0
88,33;0
88,75;0
89,17;0
89,58;0
90,00;0
90,42;0
90,83;0
91,25;0
91,67;0
92,08;0
92,50;0
92,92;0
93,33;0
93,75;0
94,17;0
94,58;0
95,00;0
95,42;0
95,83;0
96,25;0
96,67;0
97,08;0
97,50;0
97,92;0
98,33;0
98,75;0
99,17;1,238607267
99,58;4,286878312
100,00;8,84347357
100,42;14,61887038
100,83;21,45554591
101,25;29,30339659
101,67;36,98186598
102,08;43,86900649
102,50;50,45032925
102,92;57,42468765
103,33;64,79791334
103,75;72,49173047
104,17;80,72343378
104,58;89,37813039
105,00;98,14178043
105,42;106,899311
105,83;115,6786381
106,25;124,0722603
106,67;131,7463539
107,08;138,7435385
