"type";"name";"time_units";"begin_time";"frequency";"count";"units"
"signal";"Kraft";"%";0,00;2,4;360;"N"

"time";"value"
0,00;16,24842226
0,42;12,85713973
0,83;9,746427827
1,25;7,052943956
1,67;4,668642415
2,08;2,358271371
2,50;0,5966777244
2,92;0
3,33;0
3,75;0
4,17;0
4,58;0
5,00;0
5,42;0
5,83;0
6,25;0
6,67;0
7,08;0
7,50;0
7,92;0
8,33;0
8,75;0
9,17;0
9,58;0
10,00;0
10,42;0
10,83;0
11,25;0
11,67;0
12,08;0
12,50;0
12,92;0
13,33;0
13,75;0
14,17;0
14,58;0
15,00;0
15,42;0
15,83;0
16,25;0
16,67;0
17,08;0
17,50;0
17,92;0
18,33;0
18,75;0
19,17;0
19,58;0
20,00;0
20,42;0
20,83;0
21,25;0
21,67;0
22,08;0
22,50;0
22,92;0
23,33;0
23,75;0
24,17;0
24,58;0
25,00;0
25,42;0
25,83;0
26,25;0
26,67;0
27,08;0
27,50;0
27,92;0
28,33;0
28,75;0
29,17;0
29,58;0
30,00;0
30,42;0
30,83;0
31,25;0
31,67;0
32,08;0
32,50;0
32,92;0
33,33;0
33,75;0
34,17;0
34,58;0
35,00;0
35,42;0
35,83;0
36,25;0
36,67;0
37,08;0
37,50;0
37,92;0
38,33;0
38,75;0
39,17;0
39,58;0
40,00;0
40,42;0
40,83;0
41,25;0
41,67;0
42,08;0
42,50;0
42,92;0
43,33;0
43,75;0
44,17;0
44,58;0
45,00;0
45,42;0
45,83;0
46,25;0
46,67;0
47,08;0
47,50;0
47,92;0
48,33;0,6441344129
48,75;4,28150374
49,17;9,502969262
49,58;14,21625005
50,00;19,16546557
50,42;23,93362598
50,83;28,58359244
51,25;33,31947506
51,67;38,20461772
52,08;43,48025762
52,50;49,23934517
52,92;55,26408816
53,33;61,48629397
53,75;67,78887414
54,17;73,99759354
54,58;80,20487855
55,00;86,48808422
55,42;92,76386636
55,83;98,89657409
56,25;104,8444035
56,67;110,6234609
57,08;116,2696995
57,50;121,8300659
57,92;127,1958619
58,33;132,1539223
58,75;136,735041
59,17;141,1092621
59,58;145,3516505
60,00;149,4694074
60,42;153,4259114
60,83;157,2151124
61,25;160,9117355
61,67;164,5918352
62,08;168,2025422
62,50;171,5503269
62,92;174,4530646
63,33;177,0620325
63,75;179,737216
64,17;182,6013116
64,58;185,396776
65,00;187,8693567
65,42;190,0513001
65,83;192,0574228
66,25;193,9830701
66,67;195,8431755
67,08;197,6018588
67,50;199,2154008
67,92;200,6480885
68,33;201,9588569
68,75;203,1983616
69,17;204,3840068
69,58;205,5339981
70,00;206,5684416
70,42;207,3315535
70,83;207,8697996
71,25;208,3794936
71,67;208,8671921
72,08;209,2289735
72,50;209,39843
72,92;209,4356246
73,33;209,4188789
73,75;209,3586553
74,17;209,2102547
74,58;208,8856415
75,00;208,4027565
75,42;207,7898395
75,83;207,0201229
76,25;206,0748704
76,67;205,0218301
77,08;203,9305471
77,50;202,7868064
77,92;201,4917475
78,33;200,024968
78,75;198,419231
79,17;196,6450746
79,58;194,7424161
80,00;192,7424394
80,42;190,6411127
80,83;188,4460097
81,25;186,2138002
81,67;183,9086157
82,08;181,3760492
82,50;178,5747408
82,92;175,5694094
83,33;172,3719558
83,75;169,0409158
84,17;165,6954153
84,58;162,3527881
85,00;158,9054636
85,42;155,3117365
85,83;151,6947722
86,25;148,0005
86,67;144,0217511
87,08;139,8649352
87,50;135,7523356
87,92;131,6466404
88,33;127,5193072
88,75;123,3881136
89,17;119,212058
89,58;115,0107506
90,00;110,809145
90,42;106,6156756
90,83;102,4010398
91,25;97,99544785
91,67;93,37102216
92,08;88,78718716
92,50;84,39146353
92,92;80,12014535
93,33;75,9025576
93,75;71,71454147
94,17;67,57038338
94,58;63,49107509
95,00;59,51610369
95,42;55,71072729
95,83;51,99474941
96,25;48,27296569
96,67;44,5624208
97,08;40,87990634
97,50;37,27702828
97,92;33,80154231
98,33;30,41854938
98,75;27,02020687
99,17;23,49841843
99,58;19,83957883
100,00;16,24842226
100,42;12,85713973
100,83;9,746427827
101,25;7,052943956
101,67;4,668642415
102,08;2,358271371
102,50;0,5966777244
102,92;0
103,33;0
103,75;0
104,17;0
104,58;0
105,00;0
105,42;0
105,83;0
106,25;0
106,67;0
107,08;0
107,50;0
107,92;0
108,33;0
108,75;0
109,17;0
109,58;0
110,00;0
110,42;0
110,83;0
111,25;0
111,67;0
112,08;0
112,50;0
112,92;0
113,33;0
113,75;0
114,17;0
114,58;0
115,00;0
115,42;0
115,83;0
116,25;0
116,67;0
117,08;0
117,50;0
117,92;0
118,33;0
118,75;0
119,17;0
119,58;0
120,00;0
120,42;0
120,83;0
121,25;0
121,67;0
122,08;0
122,50;0
122,92;0
123,33;0
123,75;0
124,17;0
124,58;0
125,00;0
125,42;0
125,83;0
126,25;0
126,67;0
127,08;0
127,50;0
127,92;0
128,33;0
128,75;0
129,17;0
129,58;0
130,00;0
130,42;0
130,83;0
131,25;0
131,67;0
132,08;0
132,50;0
132,92;0
133,33;0
133,75;0
134,17;0
134,58;0
135,00;0
135,42;0
135,83;0
136,25;0
136,67;0
137,08;0
137,50;0
137,92;0
138,33;0
138,75;0
139,17;0
139,58;0
140,00;0
140,42;0
140,83;0
141,25;0
141,67;0
142,08;0
142,50;0
142,92;0
143,33;0
143,75;0
144,17;0
144,58;0
145,00;0
145,42;0
145,83;0
146,25;0
146,67;0
147,08;0
147,50;0
147,92;0
148,33;0,6441344129
148,75;4,28150374
149,17;9,502969262
149,58;14,21625005
