"type";"name";"time_units";"begin_time";"frequency";"count";"units"
"signal";"Kraft";"%";0,00;2,4;360;"N"

"time";"value"
0,00;45,3526174
0,42;37,40866988
0,83;29,53390035
1,25;22,3856045
1,67;17,42975499
2,08;14,12719111
2,50;9,05335335
2,92;2,781428817
3,33;0
3,75;0
4,17;0
4,58;0
5,00;0
5,42;0
5,83;0
6,25;0
6,67;0
7,08;0
7,50;0
7,92;0
8,33;0
8,75;0
9,17;0
9,58;0
10,00;0
10,42;0
10,83;0
11,25;0
11,67;0
12,08;0
12,50;0
12,92;0
13,33;0
13,75;0
14,17;0
14,58;0
15,00;0
15,42;0
15,83;0
16,25;0
16,67;0
17,08;0
17,50;0
17,92;0
18,33;0
18,75;0
19,17;0
19,58;0
20,00;0
20,42;0
20,83;0
21,25;0
21,67;0
22,08;0
22,50;0
22,92;0
23,33;0
23,75;0
24,17;0
24,58;0
25,00;0
25,42;0
25,83;0
26,25;0
26,67;0
27,08;0
27,50;0
27,92;0
28,33;0
28,75;0
29,17;0
29,58;0
30,00;0
30,42;0
30,83;0
31,25;0
31,67;0
32,08;0
32,50;0
32,92;0
33,33;0
33,75;0
34,17;0
34,58;0
35,00;0
35,42;0
35,83;0
36,25;0
36,67;0
37,08;0
37,50;0
37,92;0
38,33;0
38,75;0
39,17;0
39,58;0
40,00;0
40,42;0
40,83;0
41,25;0
41,67;0
42,08;0
42,50;0
42,92;0
43,33;0
43,75;0,6843773931
44,17;3,235362916
44,58;7,462000228
45,00;12,61680994
45,42;18,73175311
45,83;25,94123503
46,25;33,66095011
46,67;41,49443587
47,08;49,60870694
47,50;57,54341171
47,92;65,03897802
48,33;72,02066299
48,75;78,22813344
49,17;84,20858308
49,58;90,63806764
50,00;97,74479578
50,42;105,6290644
50,83;114,0270969
51,25;122,780573
51,67;131,8226052
52,08;140,8926831
52,50;150,0310686
52,92;159,1216686
53,33;167,9874596
53,75;176,9324299
54,17;185,7587963
54,58;194,2233307
55,00;202,4489807
55,42;210,2394867
55,83;217,636627
56,25;224,7349384
56,67;231,4565735
57,08;238,0974549
57,50;244,7397701
57,92;251,3007652
58,33;257,8229891
58,75;264,2318551
59,17;270,714357
59,58;277,2907288
60,00;283,7123818
60,42;290,1689804
60,83;296,5788815
61,25;302,5833634
61,67;308,4025045
62,08;314,2347558
62,50;320,0057646
62,92;325,5846778
63,33;330,8799533
63,75;336,0078137
64,17;340,8279552
64,58;345,1605007
65,00;349,3459103
65,42;353,6075582
65,83;357,8172602
66,25;361,7542849
66,67;365,2264081
67,08;368,3398685
67,50;371,2768745
67,92;374,0480633
68,33;376,6293949
68,75;378,9955157
69,17;381,1683924
69,58;383,2629929
70,00;385,2561203
70,42;387,0579426
70,83;388,6695722
71,25;390,118115
71,67;391,3991316
72,08;392,4399588
72,50;393,2075335
72,92;393,7733638
73,33;394,1578516
73,75;394,2710328
74,17;394,163737
74,58;394,0031025
75,00;393,7677348
75,42;393,2209441
75,83;392,3092906
76,25;391,2121689
76,67;389,9719379
77,08;388,5758561
77,50;386,9991727
77,92;385,2281827
78,33;383,3218544
78,75;381,266127
79,17;378,9418486
79,58;376,3164248
80,00;373,5729046
80,42;370,8114816
80,83;367,7939249
81,25;364,3855515
81,67;360,8067872
82,08;357,2402582
82,50;353,4349529
82,92;349,1341975
83,33;344,7350587
83,75;340,4916994
84,17;336,1362108
84,58;331,5010675
85,00;326,5937225
85,42;321,5482454
85,83;316,402038
86,25;310,835217
86,67;304,8542979
87,08;298,7734072
87,50;292,5665681
87,92;286,2195255
88,33;279,7258397
88,75;272,976004
89,17;266,0154112
89,58;258,7749425
90,00;251,3057583
90,42;243,7543435
90,83;235,8897695
91,25;227,7866385
91,67;219,5662815
92,08;211,1470109
92,50;202,6816915
92,92;194,1689258
93,33;185,627481
93,75;176,9468762
94,17;167,8546931
94,58;158,7224391
95,00;149,7858735
95,42;140,6624826
95,83;131,3438596
96,25;121,87021
96,67;112,1793351
97,08;102,2982843
97,50;92,52767463
97,92;83,44657651
98,33;75,11966641
98,75;67,36925862
99,17;60,18535908
99,58;53,03679574
100,00;45,3526174
100,42;37,40866988
100,83;29,53390035
101,25;22,3856045
101,67;17,42975499
102,08;14,12719111
102,50;9,05335335
102,92;2,781428817
103,33;0
103,75;0
104,17;0
104,58;0
105,00;0
105,42;0
105,83;0
106,25;0
106,67;0
107,08;0
107,50;0
107,92;0
108,33;0
108,75;0
109,17;0
109,58;0
110,00;0
110,42;0
110,83;0
111,25;0
111,67;0
112,08;0
112,50;0
112,92;0
113,33;0
113,75;0
114,17;0
114,58;0
115,00;0
115,42;0
115,83;0
116,25;0
116,67;0
117,08;0
117,50;0
117,92;0
118,33;0
118,75;0
119,17;0
119,58;0
120,00;0
120,42;0
120,83;0
121,25;0
121,67;0
122,08;0
122,50;0
122,92;0
123,33;0
123,75;0
124,17;0
124,58;0
125,00;0
125,42;0
125,83;0
126,25;0
126,67;0
127,08;0
127,50;0
127,92;0
128,33;0
128,75;0
129,17;0
129,58;0
130,00;0
130,42;0
130,83;0
131,25;0
131,67;0
132,08;0
132,50;0
132,92;0
133,33;0
133,75;0
134,17;0
134,58;0
135,00;0
135,42;0
135,83;0
136,25;0
