"type";"name";"time_units";"begin_time";"frequency";"count";"units"
"signal";"Kraft";"%";0,00;2,4;360;"N"

"time";"value"
0,00;285,615464
0,42;292,2193657
0,83;298,5331521
1,25;304,6384966
1,67;310,6482168
2,08;316,5533979
2,50;322,4259848
2,92;328,3743847
3,33;334,2699605
3,75;339,8397637
4,17;345,0656726
4,58;350,1741456
5,00;355,1465094
5,42;359,8775752
5,83;364,4352866
6,25;368,6910531
6,67;372,5989008
7,08;376,2198263
7,50;379,5482478
7,92;382,682504
8,33;385,70332
8,75;388,4813664
9,17;390,9256001
9,58;393,2028109
10,00;395,3796356
10,42;397,3647616
10,83;399,1939386
11,25;400,8296919
11,67;402,2023594
12,08;403,3405634
12,50;404,1807495
12,92;404,6445435
13,33;404,8816363
13,75;405,0338644
14,17;404,888976
14,58;404,3493068
15,00;403,652111
15,42;402,8405248
15,83;401,7126926
16,25;400,135153
16,67;398,2318816
17,08;396,217371
17,50;394,0959603
17,92;391,7508585
18,33;389,082716
18,75;386,0615538
19,17;382,7123298
19,58;379,1160608
20,00;375,3432896
20,42;371,4429084
20,83;367,395238
21,25;363,059663
21,67;358,3823872
22,08;353,5634394
22,50;348,6403362
22,92;343,3992369
23,33;337,7716449
23,75;331,9480165
24,17;325,9854709
24,58;319,7184315
25,00;313,3090692
25,42;306,9022647
25,83;300,2791848
26,25;293,3257277
26,67;286,1983093
27,08;278,9494278
27,50;271,543397
27,92;263,910658
28,33;256,1200644
28,75;248,2469411
29,17;240,153387
29,58;231,657445
30,00;222,782156
30,42;213,9039049
30,83;205,1735873
31,25;196,4695463
31,67;187,6618893
32,08;178,600126
32,50;169,2016339
32,92;159,7445526
33,33;150,5918625
33,75;141,8648146
34,17;133,4972796
34,58;125,4054326
35,00;117,4661786
35,42;109,4441661
35,83;101,1786918
36,25;92,67011914
36,67;83,95442702
37,08;75,11924952
37,50;66,55241879
37,92;58,63898598
38,33;51,4112989
38,75;44,39729305
39,17;37,12291273
39,58;29,56322474
40,00;22,19583592
40,42;16,2057056
40,83;11,68676781
41,25;6,939210022
41,67;2,128292548
42,08;0
42,50;0
42,92;0
43,33;0
43,75;0
44,17;0
44,58;0
45,00;0
45,42;0
45,83;0
46,25;0
46,67;0
47,08;0
47,50;0
47,92;0
48,33;0
48,75;0
49,17;0
49,58;0
50,00;0
50,42;0
50,83;0
51,25;0
51,67;0
52,08;0
52,50;0
52,92;0
53,33;0
53,75;0
54,17;0
54,58;0
55,00;0
55,42;0
55,83;0
56,25;0
56,67;0
57,08;0
57,50;0
57,92;0
58,33;0
58,75;0
59,17;0
59,58;0
60,00;0
60,42;0
60,83;0
61,25;0
61,67;0
62,08;0
62,50;0
62,92;0
63,33;0
63,75;0
64,17;0
64,58;0
65,00;0
65,42;0
65,83;0
66,25;0
66,67;0
67,08;0
67,50;0
67,92;0
68,33;0
68,75;0
69,17;0
69,58;0
70,00;0
70,42;0
70,83;0
71,25;0
71,67;0
72,08;0
72,50;0
72,92;0
73,33;0
73,75;0
74,17;0
74,58;0
75,00;0
75,42;0
75,83;0
76,25;0
76,67;0
77,08;0
77,50;0
77,92;0
78,33;0
78,75;0
79,17;0
79,58;0
80,00;0
80,42;0
80,83;0
81,25;0
81,67;0
82,08;0
82,50;0
82,92;0
83,33;0
83,75;0
84,17;0,5777109006
84,58;2,569088461
85,00;5,961105797
85,42;10,30522977
85,83;15,92764908
86,25;23,03289549
86,67;31,00165736
87,08;39,49938849
87,50;48,31843736
87,92;57,21692939
88,33;65,59092802
88,75;72,81222588
89,17;79,10430192
89,58;84,85844408
90,00;90,68187662
90,42;97,57124585
90,83;105,6633271
91,25;114,5300551
91,67;123,9597177
92,08;133,775589
92,50;143,6822455
92,92;153,422705
93,33;163,1249954
93,75;172,8266722
94,17;182,3594089
94,58;191,5962712
95,00;200,4958738
95,42;208,8809306
95,83;216,6317158
96,25;224,1205397
96,67;231,6221038
97,08;238,9142064
97,50;245,9250005
97,92;252,8078321
98,33;259,504595
98,75;265,9685646
99,17;272,3858585
99,58;278,9385748
100,00;285,615464
100,42;292,2193657
100,83;298,5331521
101,25;304,6384966
101,67;310,6482168
102,08;316,5533979
102,50;322,4259848
102,92;328,3743847
103,33;334,2699605
103,75;339,8397637
104,17;345,0656726
104,58;350,1741456
105,00;355,1465094
105,42;359,8775752
105,83;364,4352866
106,25;368,6910531
106,67;372,5989008
107,08;376,2198263
107,50;379,5482478
107,92;382,682504
108,33;385,70332
108,75;388,4813664
109,17;390,9256001
109,58;393,2028109
110,00;395,3796356
110,42;397,3647616
110,83;399,1939386
111,25;400,8296919
111,67;402,2023594
112,08;403,3405634
112,50;404,1807495
112,92;404,6445435
113,33;404,8816363
113,75;405,0338644
114,17;404,888976
114,58;404,3493068
115,00;403,652111
115,42;402,8405248
115,83;401,7126926
116,25;400,135153
116,67;398,2318816
117,08;396,217371
117,50;394,0959603
117,92;391,7508585
118,33;389,082716
118,75;386,0615538
119,17;382,7123298
119,58;379,1160608
120,00;375,3432896
120,42;371,4429084
120,83;367,395238
121,25;363,059663
121,67;358,3823872
122,08;353,5634394
122,50;348,6403362
122,92;343,3992369
123,33;337,7716449
123,75;331,9480165
124,17;325,9854709
124,58;319,7184315
125,00;313,3090692
125,42;306,9022647
125,83;300,2791848
126,25;293,3257277
126,67;286,1983093
127,08;278,9494278
127,50;271,543397
127,92;263,910658
128,33;256,1200644
128,75;248,2469411
129,17;240,153387
129,58;231,657445
130,00;222,782156
130,42;213,9039049
130,83;205,1735873
131,25;196,4695463
131,67;187,6618893
132,08;178,600126
132,50;169,2016339
132,92;159,7445526
133,33;150,5918625
133,75;141,8648146
134,17;133,4972796
134,58;125,4054326
135,00;117,4661786
135,42;109,4441661
135,83;101,1786918
136,25;92,67011914
136,67;83,95442702
137,08;75,11924952
137,50;66,55241879
137,92;58,63898598
138,33;51,4112989
138,75;44,39729305
139,17;37,12291273
139,58;29,56322474
140,00;22,19583592
140,42;16,2057056
140,83;11,68676781
141,25;6,939210022
141,67;2,128292548
142,08;0
142,50;0
142,92;0
143,33;0
143,75;0
144,17;0
144,58;0
145,00;0
145,42;0
145,83;0
146,25;0
146,67;0
147,08;0
147,50;0
147,92;0
148,33;0
148,75;0
149,17;0
149,58;0
