"type";"name";"time_units";"begin_time";"frequency";"count";"units"
"signal";"Kraft";"s";2,9650;200;563;"%"

"time";"value"
2,9650;0
2,9700;9,335847227
2,9750;24,50659897
2,9800;35,59291755
2,9850;42,01131252
2,9900;50,18017885
2,9950;58,34904517
3,0000;72,93630646
3,0050;87,52356776
3,0100;105,0282813
3,0150;121,9495044
3,0200;141,7881798
3,0250;162,2103456
3,0300;177,3810973
3,0350;191,9683586
3,0400;203,6381676
3,0450;216,4749576
3,0500;227,5612762
3,0550;242,7320279
3,0600;257,9027797
3,0650;269,5725887
3,0700;283,5763595
3,0750;295,829659
3,0800;308,666449
3,0850;315,6683344
3,0900;327,9216339
3,0950;337,2574811
3,1000;347,1768188
3,1050;355,3456851
3,1100;362,931061
3,1150;367,0154941
3,1200;371,0999273
3,1250;379,2687936
3,1300;379,8522841
3,1350;383,3532268
3,1400;388,0211504
3,1450;388,0211504
3,1500;388,0211504
3,1550;389,1881313
3,1600;389,7716217
3,1650;386,270679
3,1700;386,8541695
3,1750;381,6027554
3,1800;381,019265
3,1850;372,8503986
3,1900;367,5989846
3,1950;358,2631374
3,2000;350,094271
3,2050;339,5914429
3,2100;327,3381434
3,2150;313,917863
3,2200;299,3306017
3,2250;283,5763595
3,2300;270,1560791
3,2350;251,4843847
3,2400;230,4787284
3,2450;210,6400531
3,2500;193,1353395
3,2550;173,2966642
3,2600;153,4579888
3,2650;128,9513898
3,2700;98,60988634
3,2750;70,60234466
3,2800;54,26461201
3,2850;35,59291755
3,2900;11,66980903
3,2950;0
3,3000;0
3,3050;0
3,3100;0
3,3150;0
3,3200;0
3,3250;0
3,3300;0
3,3350;0
3,3400;0
3,3450;0
3,3500;0
3,3550;0
3,3600;0
3,3650;0
3,3700;0
3,3750;0
3,3800;0
3,3850;0
3,3900;0
3,3950;0
3,4000;0
3,4050;0
3,4100;0
3,4150;0
3,4200;0
3,4250;0
3,4300;0
3,4350;0
3,4400;0
3,4450;0
3,4500;0
3,4550;0
3,4600;0
3,4650;0
3,4700;0
3,4750;0
3,4800;0
3,4850;0
3,4900;0
3,4950;0
3,5000;0
3,5050;0
3,5100;0
3,5150;0
3,5200;0
3,5250;0
3,5300;0
3,5350;0
3,5400;0
3,5450;1,750471355
3,5500;13,42028039
3,5550;29,75801304
3,5600;52,51414065
3,5650;70,60234466
3,5700;78,77121098
3,5750;88,69054866
3,5800;110,2796954
3,5850;138,2872371
3,5900;163,9608169
3,5950;184,3829827
3,6000;207,1391104
3,6050;222,3098621
3,6100;238,6475948
3,6150;253,8183465
3,6200;270,1560791
3,6250;291,1617354
3,6300;307,4994681
3,6350;321,5032389
3,6400;338,424462
3,6450;351,2612519
3,6500;362,931061
3,6550;369,9329464
3,6600;377,5183223
3,6650;385,1036981
3,6700;388,6046408
3,6750;389,1881313
3,6800;393,2725645
3,6850;397,3569976
3,6900;393,2725645
3,6950;393,2725645
3,7000;392,689074
3,7050;388,6046408
3,7100;383,3532268
3,7150;379,2687936
3,7200;375,7678509
3,7250;367,5989846
3,7300;357,6796469
3,7350;349,5107806
3,7400;341,3419143
3,7450;331,4225766
3,7500;315,6683344
3,7550;302,248054
3,7600;285,9103213
3,7650;271,9065505
3,7700;255,5688179
3,7750;239,2310852
3,7800;219,3924098
3,7850;202,4711867
3,7900;180,88204
3,7950;157,542422
3,8000;130,1183707
3,8050;105,0282813
3,8100;78,77121098
3,8150;57,76555472
3,8200;35,59291755
3,8250;9,335847227
3,8300;0
3,8350;0
3,8400;0
3,8450;0
3,8500;0
3,8550;0
3,8600;0
3,8650;0
3,8700;0
3,8750;0
3,8800;0
3,8850;0
3,8900;0
3,8950;0
3,9000;0
3,9050;0
3,9100;0
3,9150;0
3,9200;0
3,9250;0
3,9300;0
3,9350;0
3,9400;0
3,9450;0
3,9500;0
3,9550;0
3,9600;0
3,9650;0
3,9700;0
3,9750;0
3,9800;0
3,9850;0
3,9900;0
3,9950;0
4,0000;0
4,0050;0
4,0100;0
4,0150;0
4,0200;0
4,0250;0
4,0300;0
4,0350;0
4,0400;0
4,0450;0
4,0500;0
4,0550;0
4,0600;0
4,0650;2,333961807
4,0700;14,00377084
4,0750;34,42593665
4,0800;56,59857382
4,0850;79,93819189
4,0900;96,27592453
4,0950;112,0301667
4,1000;129,5348803
4,1050;150,5405365
4,1100;172,7131737
4,1150;196,0527918
4,1200;215,8914671
4,1250;234,5631616
4,1300;250,9008942
4,1350;267,2386269
4,1400;279,4919264
4,1450;298,7471113
4,1500;309,8334299
4,1550;325,0041816
4,1600;339,5914429
4,1650;349,5107806
4,1700;363,5145514
4,1750;373,4338891
4,1800;382,1862459
4,1850;387,4376599
4,1900;393,2725645
4,1950;398,5239785
4,2000;403,7753926
4,2050;406,1093544
4,2100;408,4433162
4,2150;407,2763353
4,2200;407,8598257
4,2250;404,9423735
4,2300;400,2744499
4,2350;396,7735072
4,2400;390,9386026
4,2450;384,5202077
4,2500;378,1018127
4,2550;369,3494559
4,2600;355,3456851
4,2650;346,0098379
4,2700;334,3400288
4,2750;320,9197484
4,2800;304,5820158
4,2850;288,8277736
4,2900;270,7395696
4,2950;252,0678751
4,3000;232,2291998
4,3050;209,4730722
4,3100;191,9683586
4,3150;167,4617596
4,3200;148,2065747
4,3250;125,4504471
4,3300;97,44290544
4,3350;73,51979692
4,3400;60,09951653
4,3450;41,42782207
4,3500;15,7542422
4,3550;13,42028039
4,3600;0
4,3650;0
4,3700;0
4,3750;0
4,3800;0
4,3850;0
4,3900;0
4,3950;0
4,4000;0
4,4050;0
4,4100;0
4,4150;0
4,4200;0
4,4250;0
4,4300;0
4,4350;0
4,4400;0
4,4450;0
4,4500;0
4,4550;0
4,4600;0
4,4650;0
4,4700;0
4,4750;0
4,4800;0
4,4850;0
4,4900;0
4,4950;0
4,5000;0
4,5050;0
4,5100;0
4,5150;0
4,5200;0
4,5250;0
4,5300;0
4,5350;0
4,5400;0
4,5450;0
4,5500;0
4,5550;0
4,5600;0
4,5650;0
4,5700;0
4,5750;0
4,5800;0
4,5850;0
4,5900;0
4,5950;0
4,6000;0
4,6050;0
4,6100;12,83678994
4,6150;35,0094271
4,6200;59,51602608
4,6250;89,85752956
4,6300;107,3622431
4,6350;124,8669567
4,6400;150,5405365
4,6450;176,2141164
4,6500;199,5537345
4,6550;219,9759003
4,6600;246,8164611
4,6650;270,1560791
4,6700;288,8277736
4,6750;305,1655062
4,6800;325,0041816
4,6850;343,0923856
4,6900;355,9291755
4,6950;368,182475
4,7000;380,4357745
4,7050;391,5220931
4,7100;400,2744499
4,7150;404,9423735
4,7200;412,5277494
4,7250;414,2782207
4,7300;417,7791634
4,7350;418,9461443
4,7400;421,2801061
4,7450;421,8635966
4,7500;418,9461443
4,7550;415,4452016
4,7600;412,5277494
4,7650;412,5277494
4,7700;403,7753926
4,7750;395,0230358
4,7800;386,8541695
4,7850;379,8522841
4,7900;368,7659655
4,7950;358,8466278
4,8000;350,094271
4,8050;335,5070097
4,8100;323,8372007
4,8150;309,2499394
4,8200;294,6626781
4,8250;278,9084359
4,8300;261,9872128
4,8350;242,1485375
4,8400;224,0603335
4,8450;204,8051486
4,8500;184,3829827
4,8550;166,2947787
4,8600;145,8726129
4,8650;124,2834662
4,8700;97,44290544
4,8750;76,43724917
4,8800;67,10140195
4,8850;53,09763111
4,8900;28,59103213
4,8950;6,418394969
4,9000;3,50094271
4,9050;0
4,9100;0
4,9150;0
4,9200;0
4,9250;0
4,9300;0
4,9350;0
4,9400;0
4,9450;0
4,9500;0
4,9550;0
4,9600;0
4,9650;0
4,9700;0
4,9750;0
4,9800;0
4,9850;0
4,9900;0
4,9950;0
5,0000;0
5,0050;0
5,0100;0
5,0150;0
5,0200;0
5,0250;0
5,0300;0
5,0350;0
5,0400;0
5,0450;0
5,0500;0
5,0550;0
5,0600;0
5,0650;0
5,0700;0
5,0750;0
5,0800;0
5,0850;0
5,0900;0
5,0950;0
5,1000;0
5,1050;0
5,1100;0
5,1150;0
5,1200;0
5,1250;0
5,1300;0
5,1350;0
5,1400;0
5,1450;1,750471355
5,1500;8,168866324
5,1550;27,42405123
5,1600;44,92876478
5,1650;62,43347833
5,1700;87,52356776
5,1750;105,6117718
5,1800;124,2834662
5,1850;145,8726129
5,1900;168,0452501
5,1950;190,8013777
5,2000;215,3079767
5,2050;235,7301425
5,2100;257,3192892
5,2150;274,8240028
5,2200;289,9947545
5,2250;308,666449
5,2300;327,9216339
5,2350;345,4263474
5,2400;357,6796469
5,2450;375,7678509
5,2500;389,1881313
5,2550;399,107469
5,2600;410,777278
5,2650;414,2782207
5,2700;421,8635966
5,2750;427,6985011
5,2800;430,6159534
5,2850;434,7003865
5,2900;435,283877
5,2950;435,8673674
5,3000;437,0343483
5,3050;434,7003865
5,3100;433,5334056
5,3150;430,6159534
5,3200;427,6985011
5,3250;424,7810488
5,3300;419,5296348
5,3350;412,5277494
5,3400;406,1093544
5,3450;399,6909594
5,3500;389,7716217
5,3550;381,019265
5,3600;373,4338891
5,3650;360,0136087
5,3700;349,5107806
5,3750;334,9235193
5,3800;323,2537103
5,3850;308,666449
5,3900;290,578245
5,3950;272,490041
5,4000;257,3192892
5,4050;235,7301425
5,4100;216,4749576
5,4150;193,71883
5,4200;172,1296833
5,4250;144,705632
5,4300;119,6155426
5,4350;93,94196273
5,4400;70,60234466
5,4450;53,09763111
5,4500;32,6754653
5,4550;12,25329949
5,4600;15,7542422
5,4650;24,50659897
5,4700;30,34150349
