"type";"name";"time_units";"begin_time";"frequency";"count";"units"
"signal";"Kraft";"s";27,8450;200;549;"%"

"time";"value"
27,8450;0
27,8500;0
27,8550;0
27,8600;0
27,8650;0
27,8700;0
27,8750;0
27,8800;0
27,8850;0
27,8900;0
27,8950;0
27,9000;0
27,9050;0
27,9100;0
27,9150;0
27,9200;0
27,9250;0
27,9300;0
27,9350;0
27,9400;0
27,9450;0
27,9500;0
27,9550;0
27,9600;0
27,9650;0
27,9700;0
27,9750;0
27,9800;0
27,9850;0
27,9900;0
27,9950;0
28,0000;0
28,0050;0
28,0100;0
28,0150;0
28,0200;0
28,0250;0
28,0300;0
28,0350;0
28,0400;0
28,0450;0
28,0500;0
28,0550;0
28,0600;0
28,0650;0
28,0700;0
28,0750;0
28,0800;0
28,0850;0
28,0900;0
28,0950;0
28,1000;0
28,1050;0
28,1100;0
28,1150;0
28,1200;0
28,1250;0
28,1300;0
28,1350;0
28,1400;0
28,1450;0
28,1500;0
28,1550;0
28,1600;0
28,1650;0
28,1700;0
28,1750;0
28,1800;0
28,1850;0
28,1900;0
28,1950;0
28,2000;0
28,2050;0
28,2100;0
28,2150;0
28,2200;0
28,2250;0
28,2300;0
28,2350;0
28,2400;0
28,2450;0
28,2500;0
28,2550;0
28,2600;0
28,2650;0
28,2700;0
28,2750;0
28,2800;0
28,2850;0
28,2900;0
28,2950;0
28,3000;0
28,3050;0
28,3100;0
28,3150;0
28,3200;0
28,3250;0
28,3300;0
28,3350;0
28,3400;0
28,3450;0
28,3500;0
28,3550;0
28,3600;0
28,3650;0
28,3700;0
28,3750;0
28,3800;0
28,3850;0
28,3900;0
28,3950;0
28,4000;3,50094271
28,4050;10,50282813
28,4100;37,92687936
28,4150;49,5966884
28,4200;60,09951653
28,4250;81,10517279
28,4300;101,5273386
28,4350;120,7825235
28,4400;141,2046893
28,4450;156,9589315
28,4500;169,7957214
28,4550;179,1315687
28,4600;187,300435
28,4650;197,8032631
28,4700;206,5556199
28,4750;215,3079767
28,4800;221,1428812
28,4850;228,7282571
28,4900;235,146652
28,4950;238,0641043
28,5000;242,1485375
28,5050;246,2329706
28,5100;251,4843847
28,5150;251,4843847
28,5200;254,4018369
28,5250;255,5688179
28,5300;257,9027797
28,5350;257,3192892
28,5400;256,1523083
28,5450;254,9853274
28,5500;250,9008942
28,5550;247,983442
28,5600;243,8990088
28,5650;238,0641043
28,5700;229,3117475
28,5750;222,3098621
28,5800;211,2235435
28,5850;197,2197727
28,5900;185,5499636
28,5950;176,2141164
28,6000;159,2928933
28,6050;143,5386511
28,6100;128,9513898
28,6150;112,6136572
28,6200;98,60988634
28,6250;81,68866324
28,6300;69,43536375
28,6350;58,34904517
28,6400;48,42970749
28,6450;36,17640801
28,6500;25,67357988
28,6550;16,9212231
28,6600;8,752356776
28,6650;0
28,6700;0
28,6750;0
28,6800;0
28,6850;0
28,6900;0
28,6950;0
28,7000;0
28,7050;0
28,7100;0
28,7150;0
28,7200;0
28,7250;0
28,7300;0
28,7350;0
28,7400;0
28,7450;0
28,7500;0
28,7550;0
28,7600;0
28,7650;0
28,7700;0
28,7750;0
28,7800;0
28,7850;0
28,7900;0
28,7950;0
28,8000;0
28,8050;0
28,8100;0
28,8150;0
28,8200;0
28,8250;0
28,8300;0
28,8350;0
28,8400;0
28,8450;0
28,8500;0
28,8550;0
28,8600;0
28,8650;0
28,8700;0
28,8750;0
28,8800;0
28,8850;0
28,8900;0
28,8950;0
28,9000;0
28,9050;0
28,9100;0
28,9150;0
28,9200;0
28,9250;0
28,9300;1,750471355
28,9350;2,333961807
28,9400;12,25329949
28,9450;23,92310852
28,9500;36,17640801
28,9550;49,5966884
28,9600;67,10140195
28,9650;88,69054866
28,9700;103,8613004
28,9750;120,1990331
28,9800;137,7037466
28,9850;148,7900652
28,9900;158,7094029
28,9950;168,0452501
29,0000;176,2141164
29,0050;180,88204
29,0100;189,0509064
29,0150;198,970244
29,0200;205,388639
29,0250;209,4730722
29,0300;215,3079767
29,0350;222,3098621
29,0400;226,3942953
29,0450;229,3117475
29,0500;231,0622189
29,0550;235,146652
29,0600;239,8145757
29,0650;239,2310852
29,0700;240,3980661
29,0750;238,0641043
29,0800;236,8971234
29,0850;235,146652
29,0900;235,146652
29,0950;229,3117475
29,1000;222,8933526
29,1050;215,3079767
29,1100;206,5556199
29,1150;197,2197727
29,1200;187,8839255
29,1250;175,630626
29,1300;164,5443074
29,1350;148,7900652
29,1400;134,2028039
29,1450;118,4485617
29,1500;98,60988634
29,1550;84,02262505
29,1600;72,35281601
29,1650;54,26461201
29,1700;44,34527433
29,1750;33,25895575
29,1800;18,67169445
29,1850;8,752356776
29,1900;0
29,1950;0
29,2000;0
29,2050;0
29,2100;0
29,2150;0
29,2200;0
29,2250;0
29,2300;0
29,2350;0
29,2400;0
29,2450;0
29,2500;0
29,2550;0
29,2600;0
29,2650;0
29,2700;0
29,2750;0
29,2800;0
29,2850;0
29,2900;0
29,2950;0
29,3000;0
29,3050;0
29,3100;0
29,3150;0
29,3200;0
29,3250;0
29,3300;0
29,3350;0
29,3400;0
29,3450;0
29,3500;0
29,3550;0
29,3600;0
29,3650;0
29,3700;0
29,3750;0
29,3800;0
29,3850;0
29,3900;0
29,3950;0
29,4000;0
29,4050;0
29,4100;0
29,4150;0
29,4200;0
29,4250;0
29,4300;0
29,4350;0
29,4400;0
29,4450;0
29,4500;0
29,4550;0
29,4600;4,084433162
29,4650;9,919337679
29,4700;25,67357988
29,4750;42,59480298
29,4800;58,93253562
29,4850;72,93630646
29,4900;89,27403911
29,4950;113,1971476
29,5000;126,617428
29,5050;143,5386511
29,5100;155,7919506
29,5150;169,7957214
29,5200;179,1315687
29,5250;188,4674159
29,5300;197,8032631
29,5350;205,388639
29,5400;211,807034
29,5450;217,058448
29,5500;223,476843
29,5550;228,1447666
29,5600;231,6457093
29,5650;236,3136329
29,5700;239,8145757
29,5750;240,3980661
29,5800;243,3155184
29,5850;242,7320279
29,5900;242,7320279
29,5950;239,8145757
29,6000;237,4806138
29,6050;233,3961807
29,6100;231,6457093
29,6150;222,8933526
29,6200;216,4749576
29,6250;208,8895817
29,6300;197,2197727
29,6350;186,7169445
29,6400;176,2141164
29,6450;165,1277978
29,6500;153,4579888
29,6550;137,1202562
29,6600;120,1990331
29,6650;107,9457336
29,6700;93,35847227
29,6750;81,68866324
29,6800;67,10140195
29,6850;55,43159291
29,6900;44,34527433
29,6950;36,17640801
29,7000;26,84056078
29,7050;18,67169445
29,7100;9,919337679
29,7150;3,50094271
29,7200;0
29,7250;0
29,7300;0
29,7350;0
29,7400;0
29,7450;0
29,7500;0
29,7550;0
29,7600;0
29,7650;0
29,7700;0
29,7750;0
29,7800;0
29,7850;0
29,7900;0
29,7950;0
29,8000;0
29,8050;0
29,8100;0
29,8150;0
29,8200;0
29,8250;0
29,8300;0
29,8350;0
29,8400;0
29,8450;0
29,8500;0
29,8550;0
29,8600;0
29,8650;0
29,8700;0
29,8750;0
29,8800;0
29,8850;0
29,8900;0
29,8950;0
29,9000;0
29,9050;0
29,9100;0
29,9150;0
29,9200;0
29,9250;0
29,9300;0
29,9350;0
29,9400;0
29,9450;0
29,9500;0
29,9550;0
29,9600;0
29,9650;0
