"type";"name";"time_units";"begin_time";"frequency";"count";"units"
"signal";"Kraft";"s";27,8450;200;549;"%"

"time";"value"
27,8450;0
27,8500;0
27,8550;0
27,8600;0
27,8650;0
27,8700;0
27,8750;0
27,8800;0
27,8850;0
27,8900;0
27,8950;0
27,9000;0
27,9050;0
27,9100;0
27,9150;0
27,9200;0
27,9250;0
27,9300;0
27,9350;0
27,9400;0
27,9450;0
27,9500;0
27,9550;0
27,9600;0
27,9650;0
27,9700;0
27,9750;0
27,9800;0
27,9850;0
27,9900;0
27,9950;0
28,0000;0
28,0050;0
28,0100;0
28,0150;0
28,0200;0
28,0250;0
28,0300;0
28,0350;0
28,0400;0
28,0450;0
28,0500;0
28,0550;0
28,0600;0
28,0650;0
28,0700;0
28,0750;0
28,0800;0
28,0850;0
28,0900;0
28,0950;0
28,1000;0
28,1050;0
28,1100;0
28,1150;0
28,1200;0
28,1250;0
28,1300;2,333961807
28,1350;14,00377084
28,1400;29,17452259
28,1450;37,34338891
28,1500;55,43159291
28,1550;68,8518733
28,1600;85,18960595
28,1650;103,27781
28,1700;119,6155426
28,1750;132,4523325
28,1800;142,9551607
28,1850;154,0414793
28,1900;161,6268551
28,1950;167,4617596
28,2000;175,0471355
28,2050;182,0490209
28,2100;191,9683586
28,2150;197,2197727
28,2200;200,7207154
28,2250;204,2216581
28,2300;210,0565626
28,2350;215,8914671
28,2400;218,2254289
28,2450;220,5593907
28,2500;221,1428812
28,2550;225,2273144
28,2600;225,2273144
28,2650;224,6438239
28,2700;222,8933526
28,2750;223,476843
28,2800;222,8933526
28,2850;219,3924098
28,2900;215,8914671
28,2950;212,3905244
28,3000;204,2216581
28,3050;198,970244
28,3100;191,3848682
28,3150;184,3829827
28,3200;173,2966642
28,3250;161,0433647
28,3300;148,2065747
28,3350;135,9532752
28,3400;128,3678994
28,3450;112,6136572
28,3500;99,19337679
28,3550;87,52356776
28,3600;73,51979692
28,3650;59,51602608
28,3700;48,42970749
28,3750;35,59291755
28,3800;26,84056078
28,3850;14,58726129
28,3900;2,917452259
28,3950;1,750471355
28,4000;0
28,4050;0
28,4100;0
28,4150;0
28,4200;0
28,4250;0
28,4300;0
28,4350;0
28,4400;0
28,4450;0
28,4500;0
28,4550;0
28,4600;0
28,4650;0
28,4700;0
28,4750;0
28,4800;0
28,4850;0
28,4900;0
28,4950;0
28,5000;0
28,5050;0
28,5100;0
28,5150;0
28,5200;0
28,5250;0
28,5300;0
28,5350;0
28,5400;0
28,5450;0
28,5500;0
28,5550;0
28,5600;0
28,5650;0
28,5700;0
28,5750;0
28,5800;0
28,5850;0
28,5900;0
28,5950;0
28,6000;0
28,6050;0
28,6100;0
28,6150;0
28,6200;0
28,6250;0
28,6300;0
28,6350;0
28,6400;0
28,6450;0
28,6500;0
28,6550;0
28,6600;0
28,6650;9,919337679
28,6700;5,834904517
28,6750;2,917452259
28,6800;6,418394969
28,6850;18,088204
28,6900;29,75801304
28,6950;37,92687936
28,7000;55,43159291
28,7050;70,60234466
28,7100;85,18960595
28,7150;101,5273386
28,7200;115,5311094
28,7250;130,1183707
28,7300;141,7881798
28,7350;152,8744983
28,7400;161,6268551
28,7450;171,5461928
28,7500;178,5480782
28,7550;184,9664732
28,7600;194,3023204
28,7650;196,6362822
28,7700;202,4711867
28,7750;210,0565626
28,7800;211,2235435
28,7850;215,3079767
28,7900;221,1428812
28,7950;220,5593907
28,8000;221,1428812
28,8050;224,0603335
28,8100;225,2273144
28,8150;225,8108048
28,8200;221,7263717
28,8250;221,1428812
28,8300;219,9759003
28,8350;216,4749576
28,8400;209,4730722
28,8450;201,8876963
28,8500;193,71883
28,8550;184,3829827
28,8600;175,630626
28,8650;163,3773265
28,8700;154,0414793
28,8750;140,6211989
28,8800;126,0339376
28,8850;110,8631858
28,8900;98,02639589
28,8950;86,35658685
28,9000;73,51979692
28,9050;61,26649743
28,9100;51,34715975
28,9150;39,09386026
28,9200;30,34150349
28,9250;19,83867536
28,9300;12,25329949
28,9350;4,084433162
28,9400;1,750471355
28,9450;0
28,9500;0
28,9550;0
28,9600;0
28,9650;0
28,9700;0
28,9750;0
28,9800;0
28,9850;0
28,9900;0
28,9950;0
29,0000;0
29,0050;0
29,0100;0
29,0150;0
29,0200;0
29,0250;0
29,0300;0
29,0350;0
29,0400;0
29,0450;0
29,0500;0
29,0550;0
29,0600;0
29,0650;0
29,0700;0
29,0750;0
29,0800;0
29,0850;0
29,0900;0
29,0950;0
29,1000;0
29,1050;0
29,1100;0
29,1150;0
29,1200;0
29,1250;0
29,1300;0
29,1350;0
29,1400;0
29,1450;0
29,1500;0
29,1550;0
29,1600;0
29,1650;0
29,1700;0
29,1750;0
29,1800;0
29,1850;0
29,1900;0
29,1950;0
29,2000;0
29,2050;0
29,2100;0
29,2150;13,42028039
29,2200;39,09386026
29,2250;44,92876478
29,2300;59,51602608
29,2350;81,68866324
29,2400;97,44290544
29,2450;109,6962049
29,2500;126,617428
29,2550;142,3716702
29,2600;153,4579888
29,2650;163,9608169
29,2700;175,0471355
29,2750;183,2160018
29,2800;194,8858109
29,2850;198,3867536
29,2900;205,9721295
29,2950;209,4730722
29,3000;217,6419385
29,3050;220,5593907
29,3100;224,6438239
29,3150;225,8108048
29,3200;229,3117475
29,3250;229,895238
29,3300;227,5612762
29,3350;227,5612762
29,3400;225,8108048
29,3450;226,3942953
29,3500;220,5593907
29,3550;217,6419385
29,3600;210,0565626
29,3650;202,4711867
29,3700;194,8858109
29,3750;186,7169445
29,3800;176,2141164
29,3850;167,4617596
29,3900;153,4579888
29,3950;144,1221416
29,4000;130,1183707
29,4050;118,4485617
29,4100;105,0282813
29,4150;91,02451047
29,4200;78,77121098
29,4250;65,93442104
29,4300;56,01508336
29,4350;44,34527433
29,4400;33,25895575
29,4450;25,09008942
29,4500;15,7542422
29,4550;6,418394969
29,4600;0
29,4650;0
29,4700;0
29,4750;0
29,4800;0
29,4850;0
29,4900;0
29,4950;0
29,5000;0
29,5050;0
29,5100;0
29,5150;0
29,5200;0
29,5250;0
29,5300;0
29,5350;0
29,5400;0
29,5450;0
29,5500;0
29,5550;0
29,5600;0
29,5650;0
29,5700;0
29,5750;0
29,5800;0
29,5850;0
29,5900;0
29,5950;0
29,6000;0
29,6050;0
29,6100;0
29,6150;0
29,6200;0
29,6250;0
29,6300;0
29,6350;0
29,6400;0
29,6450;0
29,6500;0
29,6550;0
29,6600;0
29,6650;0
29,6700;0
29,6750;0
29,6800;0
29,6850;0
29,6900;0
29,6950;0
29,7000;0
29,7050;0
29,7100;0
29,7150;0
29,7200;0
29,7250;11,66980903
29,7300;25,09008942
29,7350;38,51036981
29,7400;47,26272659
29,7450;59,51602608
29,7500;77,02073963
29,7550;92,19149137
29,7600;106,7787527
29,7650;119,6155426
29,7700;130,7018612
29,7750;142,9551607
29,7800;150,5405365
29,7850;161,0433647
29,7900;166,8782692
29,7950;172,7131737
29,8000;178,5480782
29,8050;184,3829827
29,8100;190,2178873
29,8150;195,4693013
29,8200;198,3867536
29,8250;202,4711867
29,8300;205,388639
29,8350;205,9721295
29,8400;208,3060913
29,8450;210,0565626
29,8500;209,4730722
29,8550;208,3060913
29,8600;203,6381676
29,8650;200,1372249
29,8700;196,6362822
