air_durations_A,air_durations_B,air_durations_C,air_durations_D,asc_peak_slopes_A,asc_peak_slopes_B,asc_peak_slopes_C,asc_peak_slopes_D,avg_pres_A,avg_pres_B,avg_pres_C,avg_pres_D,contact_durations_A,contact_durations_B,contact_durations_C,contact_durations_D,des_peak_slopes_A,des_peak_slopes_B,des_peak_slopes_C,des_peak_slopes_D,dog_id,pace,paw_area_cm2_A,paw_area_cm2_B,paw_area_cm2_C,paw_area_cm2_D,peak_pressure_A,peak_pressure_B,peak_pressure_C,peak_pressure_D,ratio_pres2area_A,ratio_pres2area_B,ratio_pres2area_C,ratio_pres2area_D,step_lengths_A,step_lengths_B,step_lengths_C,step_lengths_D
0.165,0.172,0.185,0.17,1.61,1.145,1.146,0.989,3.947,3.387,2.476,3.649,0.1,0.105,0.085,0.12,1.206,0.976,0.966,1.058,T0000001,6.72,15.058,16.076,9.605,13.005,16.3,10.7,8.5,10.7,0.223,0.201,0.262,0.211,0.653,0.674,0.627,0.686
0.175,0.195,0.168,0.175,0.998,0.971,1.544,1.778,3.39,3.012,3.902,3.763,0.095,0.085,0.1,0.098,1.241,1.256,1.496,1.625,T0000001,8.18,12.853,11.807,16.401,16.05,11.0,9.05,14.7,15.25,0.229,0.236,0.246,0.236,0.746,0.73,0.742,0.739
0.185,0.185,0.185,0.21,0.586,0.651,0.57,0.546,2.804,3.215,3.098,2.937,0.2,0.18,0.19,0.2,0.55,0.563,0.582,0.532,T0000001,3.49,11.38,13.164,12.395,10.016,9.55,9.0,8.75,9.0,0.229,0.253,0.188,0.331,0.383,0.382,0.381,0.399
0.185,0.2,0.22,0.2,0.21,0.241,0.3,0.398,2.529,2.872,2.694,3.053,0.33,0.31,0.29,0.315,0.396,0.365,0.33,0.276,T0000001,2.22,9.697,13.515,8.538,12.85,7.9,7.9,8.2,9.0,0.27,0.271,0.306,0.256,0.344,0.347,0.339,0.347
0.325,0.245,0.248,0.295,0.688,0.55,0.456,0.785,4.146,4.265,4.274,3.603,0.395,0.355,0.31,0.325,0.656,0.766,0.853,0.457,T0000002,3.76,28.845,28.028,29.017,24.158,22.0,18.8,16.7,14.1,0.186,0.151,0.147,0.138,0.864,0.84,0.788,0.779
0.225,0.308,0.225,0.305,0.353,0.247,0.299,0.218,3.886,3.326,4.274,2.192,0.562,0.495,0.545,0.402,0.287,0.451,0.345,0.348,T0000003,1.97,31.493,23.443,31.826,11.284,17.8,13.9,19.4,8.3,0.12,0.194,0.127,0.198,0.654,0.637,0.677,0.602
0.515,0.388,0.475,0.265,0.667,0.691,0.762,0.644,3.441,3.425,3.53,3.33,0.432,0.425,0.33,0.435,0.334,0.479,0.632,0.307,T0000004,5.94,31.366,27.931,30.988,30.005,19.2,18.4,18.7,17.7,0.105,0.124,0.12,0.126,1.98,1.456,1.451,1.459
0.27,0.45,0.372,0.28,0.753,0.452,0.633,0.675,3.287,3.63,3.45,3.479,0.442,0.345,0.455,0.325,0.325,0.875,0.538,0.529,T0000004,5.57,29.626,30.366,30.004,27.107,20.0,17.95,16.4,16.15,0.111,0.117,0.126,0.13,1.39,1.372,1.41,0.924
0.295,0.295,0.215,0.295,0.492,0.843,0.563,0.72,3.267,3.345,3.379,3.266,0.26,0.192,0.272,0.222,0.72,0.624,0.785,0.546,T0000004,5.38,32.638,24.756,29.774,24.903,15.9,13.6,15.35,14.1,0.136,0.182,0.095,0.13,0.865,0.899,0.881,0.856
0.222,0.218,0.208,0.215,0.713,0.7,0.759,0.747,2.957,3.294,3.605,3.472,0.135,0.14,0.145,0.15,0.788,0.678,0.744,0.912,T0000005,5.24,12.066,11.502,11.239,15.915,10.7,11.3,11.3,11.3,0.245,0.275,0.21,0.211,0.606,0.603,0.601,0.618
0.25,0.235,0.24,0.235,0.77,0.777,0.772,0.745,3.426,3.32,3.301,3.192,0.143,0.14,0.132,0.135,0.947,0.816,0.926,0.844,T0000005,5.55,16.672,14.424,10.514,11.56,11.9,11.9,11.3,11.3,0.284,0.257,0.315,0.21,0.674,0.663,0.666,0.683
0.21,0.21,0.22,0.222,0.742,0.711,0.726,0.774,3.536,3.419,3.246,3.323,0.16,0.155,0.148,0.135,0.783,0.877,0.78,0.814,T0000005,5.08,15.653,14.257,11.569,10.365,11.3,11.3,10.7,10.7,0.22,0.355,0.283,0.27,0.619,0.456,0.577,0.756
0.212,0.23,0.242,0.218,0.706,0.663,0.725,0.731,3.63,3.162,3.03,3.33,0.165,0.17,0.14,0.15,0.815,0.797,0.778,0.72,T0000005,4.97,15.09,13.175,10.998,11.211,11.9,11.9,10.7,10.7,0.246,0.289,0.278,0.381,0.612,0.593,0.602,0.61
0.222,0.208,0.21,0.21,0.802,0.73,0.697,0.693,3.311,3.367,3.475,3.252,0.145,0.14,0.155,0.17,0.736,0.832,0.762,0.793,T0000005,5.01,10.862,10.893,13.934,15.296,11.3,11.3,10.7,10.7,0.231,0.321,0.327,0.159,0.598,0.581,0.591,0.58
0.238,0.238,0.225,0.22,0.802,0.698,0.747,0.711,3.364,3.043,3.578,3.468,0.13,0.14,0.145,0.152,0.775,0.82,0.873,0.872,T0000005,5.27,11.56,11.421,16.082,16.604,11.3,10.7,11.6,11.3,0.253,0.301,0.278,0.199,0.66,0.632,0.654,0.664
0.28,0.26,0.28,0.262,0.957,0.805,0.764,0.756,4.318,4.61,3.986,4.568,0.26,0.255,0.388,0.26,0.986,0.909,0.622,1.074,T0000006,4.63,28.58,28.427,27.936,27.621,24.45,21.55,20.25,25.8,0.159,0.214,0.159,0.194,0.991,1.423,0.813,0.712
0.265,0.28,0.275,0.405,0.818,0.87,0.802,0.927,4.538,4.403,4.38,4.585,0.258,0.265,0.298,0.515,1.151,1.052,0.735,0.722,T0000006,4.96,28.23,29.54,27.336,29.828,24.45,23.95,23.1,31.6,0.147,0.132,0.147,0.154,1.457,0.949,0.975,1.46
0.28,0.29,0.272,0.27,0.859,0.875,0.812,0.838,4.07,4.735,4.586,4.155,0.235,0.365,0.235,0.22,1.141,0.865,1.302,1.132,T0000006,5.19,28.565,30.088,28.25,27.792,20.55,24.7,25.3,21.05,0.181,0.174,0.206,0.157,1.478,1.341,1.016,0.831
