dog_id,asc_peak_slopes_A,asc_peak_slopes_C,avg_pres_A,avg_pres_C,contact_durations_A,contact_durations_C,des_peak_slopes_A,des_peak_slopes_C,impulses_A,impulses_C,pace,paw_area_A,paw_area_C,ratio_pres2area_A,ratio_pres2area_C,std_asc_peak_slopes_A,std_asc_peak_slopes_C,std_avg_pres_A,std_avg_pres_C,std_contact_durations_A,std_contact_durations_C,std_des_peak_slopes_A,std_des_peak_slopes_C,std_impulses_A,std_impulses_C,std_paw_area_A,std_paw_area_C,std_ratio_pres2area_A,std_ratio_pres2area_C,std_step_lengths_A,std_step_lengths_C,std_vert_forces_A,std_vert_forces_C,step_lengths_A,step_lengths_C,steps_A,steps_C,vert_forces_A,vert_forces_C,Alter,Gewicht,sex,neutered,Rückenlänge,Schulterhöhe,BCS,target
T0000001,0.602,0.608,3.198,2.797,0.185,0.175,0.547,0.505,9.994,5.905,3.48,13.922,10.041,0.24,0.262,0.369,0.236,0.354,0.253,0.046,0.065,0.199,0.25,1.388,1.344,1.531,1.069,0.029,0.039,0.037,0.044,9.642,5.01,0.231,0.237,20.0,19.0,46.434,30.005,9,8.0,1,1,38.0,24.0,5.0,0
T0000001,0.274,0.236,2.963,2.625,0.305,0.3,0.284,0.32,13.027,7.341,2.22,13.376,9.13,0.226,0.293,0.14,0.109,0.194,0.145,0.032,0.03,0.146,0.134,1.502,0.748,0.991,0.919,0.028,0.041,0.022,0.017,2.625,1.455,0.193,0.19,24.0,23.0,41.377,24.357,9,8.0,1,1,38.0,24.0,5.0,0
T0000002,0.443,0.726,4.417,3.78,0.352,0.305,0.852,0.462,49.61,29.092,3.75,30.666,24.488,0.144,0.156,0.109,0.318,0.124,0.266,0.033,0.068,0.273,0.226,4.81,6.039,1.525,1.19,0.008,0.013,0.025,0.04,9.804,9.827,0.415,0.41,10.0,10.0,150.676,98.609,5,26.0,1,1,61.0,64.0,4.0,0
T0000002,0.37,0.633,4.014,3.738,0.34,0.3,0.82,0.618,46.854,31.707,4.23,29.871,25.368,0.136,0.137,0.346,0.546,0.303,0.197,0.058,0.04,0.238,0.256,6.557,5.107,2.677,2.956,0.018,0.016,0.07,0.042,11.702,15.189,0.446,0.4,10.0,11.0,126.088,106.842,5,26.0,1,1,61.0,64.0,4.0,0
T0000002,0.546,0.608,4.358,3.935,0.302,0.255,0.794,0.581,44.358,29.588,3.16,31.2,24.705,0.138,0.155,0.15,0.46,0.29,0.53,0.033,0.32,0.125,0.286,5.444,23.077,1.923,1.359,0.014,0.017,0.022,0.062,9.562,17.642,0.417,0.423,10.0,11.0,141.702,107.719,5,26.0,1,1,61.0,64.0,4.0,0
T0000002,0.488,0.668,4.192,3.818,0.322,0.328,0.764,0.578,45.036,34.915,3.52,31.186,25.146,0.134,0.152,0.111,0.289,0.279,0.238,0.024,0.114,0.234,0.293,5.057,12.514,2.068,2.328,0.011,0.011,0.061,0.082,14.729,16.089,0.392,0.395,10.0,12.0,144.126,108.192,5,26.0,1,1,61.0,64.0,4.0,0
T0000002,0.524,0.907,4.339,4.069,0.27,0.23,1.016,0.719,44.492,29.703,4.9,31.804,26.601,0.129,0.142,0.187,0.414,0.236,0.409,0.084,0.024,0.389,0.194,4.656,5.415,4.608,1.865,0.027,0.015,0.042,0.134,24.217,16.759,0.483,0.421,9.0,9.0,145.425,123.763,5,26.0,1,1,61.0,64.0,4.0,0
T0000003,0.326,0.163,4.183,3.197,0.53,0.475,0.331,0.344,75.65,33.346,1.98,31.537,21.932,0.131,0.169,0.12,0.102,0.662,0.815,0.13,0.416,0.181,0.296,13.12,20.791,3.965,7.724,0.013,0.105,0.052,0.073,30.739,32.322,0.333,0.326,13.0,13.0,145.964,76.219,5,26.0,1,1,59.0,59.0,4.0,1
T0000003,0.44,0.496,4.383,3.534,0.44,0.295,0.412,0.775,65.183,25.944,3.08,31.989,26.239,0.138,0.142,0.368,4.16,0.985,0.8,0.077,0.117,0.234,2.428,19.545,16.202,8.208,9.075,0.055,0.054,0.03,0.179,42.4,45.104,0.37,0.33,12.0,11.0,148.184,105.675,5,26.0,1,1,59.0,59.0,4.0,1
T0000004,0.74,0.813,3.547,3.151,0.235,0.19,0.954,0.806,30.052,16.892,5.95,32.269,24.862,0.112,0.124,0.089,0.164,0.184,0.179,0.011,0.007,0.229,0.162,1.466,1.01,1.914,1.42,0.011,0.008,0.017,0.008,6.499,6.791,0.493,0.492,8.0,8.0,124.584,87.512,8,20.0,1,1,57.0,51.0,5.0,0
T0000004,0.67,0.851,3.323,3.192,0.245,0.2,0.84,0.657,29.175,17.249,5.51,31.571,25.246,0.108,0.13,0.165,0.1,0.173,0.131,0.086,0.012,0.244,0.095,7.943,1.28,1.605,1.732,0.01,0.008,0.02,0.019,5.681,6.917,0.472,0.468,9.0,8.0,114.858,88.486,8,20.0,1,1,57.0,51.0,5.0,0
T0000005,0.748,0.777,3.656,3.09,0.148,0.13,0.828,0.777,9.934,5.017,5.25,16.155,10.577,0.228,0.298,0.149,0.138,0.602,0.307,0.016,0.008,0.226,0.115,2.568,0.619,3.903,1.184,0.11,0.054,0.028,0.027,16.704,4.155,0.306,0.312,14.0,13.0,65.061,36.665,7,8.2,1,1,38.0,33.0,6.0,0
T0000005,0.781,0.915,3.574,3.185,0.145,0.125,0.922,0.789,9.934,4.957,5.54,16.618,11.069,0.215,0.284,0.121,0.107,0.333,0.278,0.019,0.011,0.153,0.164,2.145,1.024,2.557,1.377,0.044,0.029,0.026,0.022,12.553,6.794,0.344,0.335,13.0,13.0,67.039,37.395,7,8.2,1,1,38.0,33.0,6.0,0
T0000005,0.688,0.892,3.539,3.101,0.155,0.125,0.893,0.77,10.196,4.954,5.06,15.894,10.32,0.227,0.288,0.111,0.096,0.285,0.219,0.007,0.016,0.131,0.149,1.539,0.397,2.05,0.936,0.031,0.041,0.025,0.015,8.391,3.583,0.302,0.305,14.0,14.0,62.824,34.842,7,8.2,1,1,38.0,33.0,6.0,0
T0000005,0.63,0.85,3.372,3.093,0.165,0.135,0.754,0.737,10.476,5.216,4.97,16.016,10.796,0.209,0.288,0.105,0.077,0.283,0.201,0.01,0.006,0.109,0.151,0.727,0.33,1.34,0.761,0.033,0.039,0.018,0.021,4.611,2.301,0.311,0.308,14.0,14.0,60.93,35.974,7,8.2,1,1,38.0,33.0,6.0,0
T0000005,0.663,0.892,3.471,3.122,0.165,0.13,0.764,0.846,10.338,4.702,5.01,16.168,10.156,0.21,0.308,0.091,0.085,0.175,0.203,0.009,0.008,0.122,0.122,0.716,0.302,1.426,0.878,0.026,0.051,0.015,0.018,4.416,1.966,0.309,0.297,14.0,14.0,62.668,34.927,7,8.2,1,1,38.0,33.0,6.0,0
T0000005,0.713,0.869,3.49,3.135,0.15,0.13,0.823,0.807,10.112,5.036,5.26,17.051,11.155,0.209,0.294,0.072,0.083,0.242,0.193,0.01,0.009,0.223,0.121,0.661,0.426,0.916,1.026,0.02,0.038,0.021,0.02,5.027,3.515,0.324,0.318,13.0,13.0,65.921,38.402,7,8.2,1,1,38.0,33.0,6.0,0
T0000006,0.834,0.768,5.018,4.098,0.3,0.25,0.894,0.77,53.21,30.151,4.61,29.891,25.661,0.171,0.156,0.228,0.112,0.452,0.594,0.087,0.022,0.247,0.127,20.166,6.702,8.145,6.35,0.262,0.214,0.016,0.167,50.723,25.665,0.483,0.467,9.0,8.0,170.68,117.455,10,28.6,0,1,60.0,60.0,6.0,1
T0000006,0.979,0.869,4.949,3.884,0.265,0.23,1.075,0.825,48.678,28.333,4.62,30.506,26.138,0.161,0.148,0.278,0.213,0.711,0.342,0.116,0.028,0.289,0.217,10.952,2.673,1.613,1.59,0.024,0.019,0.046,0.195,24.88,8.653,0.486,0.485,9.0,8.0,175.641,119.449,10,28.6,0,1,60.0,60.0,6.0,1
T0000006,0.837,0.869,4.942,4.053,0.295,0.245,0.958,0.932,53.729,29.453,4.96,31.224,26.18,0.163,0.155,0.165,0.142,0.267,0.208,0.097,0.02,0.41,0.186,11.295,2.551,2.745,1.481,0.015,0.013,0.014,0.229,21.74,6.168,0.49,0.488,9.0,7.0,179.096,118.976,10,28.6,0,1,60.0,60.0,6.0,1
T0000006,0.882,0.753,5.121,4.087,0.23,0.21,1.409,0.982,47.652,28.172,5.17,31.335,27.405,0.158,0.155,0.314,0.286,0.564,0.32,0.089,0.12,0.481,0.204,11.42,14.439,1.39,1.925,0.015,0.021,0.008,0.211,22.683,8.562,0.545,0.499,7.0,9.0,187.055,124.313,10,28.6,0,1,60.0,60.0,6.0,1
T0000007,1.133,0.783,3.778,2.793,0.115,0.13,1.389,0.723,10.579,6.074,6.06,19.748,14.022,0.192,0.201,0.202,0.229,0.206,0.302,0.018,0.029,0.218,0.191,1.02,0.712,0.789,0.873,0.011,0.023,0.036,0.032,6.012,5.438,0.344,0.336,13.0,13.0,83.779,42.9,5,9.1,0,1,37.0,30.0,6.0,0
T0000007,0.89,0.857,3.389,2.852,0.11,0.135,1.046,0.494,9.182,6.371,5.69,16.979,13.728,0.193,0.212,0.461,0.61,0.41,0.461,0.027,0.033,0.299,0.429,2.197,1.118,1.907,2.461,0.023,0.058,0.154,0.176,13.415,14.868,0.256,0.254,15.0,15.0,64.931,38.698,5,9.1,0,1,37.0,30.0,6.0,0
T0000007,0.938,0.632,3.704,2.787,0.125,0.135,1.172,0.668,10.11,5.924,5.67,19.206,13.258,0.2,0.212,0.304,0.18,0.344,0.23,0.02,0.024,0.331,0.165,2.158,1.68,2.648,2.635,0.053,0.124,0.092,0.057,13.157,8.986,0.305,0.321,14.0,12.0,79.19,40.492,5,9.1,0,1,37.0,30.0,6.0,0
